model,overall_mae_mm,positive_rain_mae_mm,local_usage_share
Conflict policy,0.03275554209478173,1.049883740698266,0.17548830746127686
EURADCLIM,0.06055834482866896,1.715602959200119,0.0
ERA5,0.06335921855920071,1.546404162551796,0.0
IMERG,0.09538894283208552,1.9464401583334385,0.0
Fixed local,0.03995823234428012,1.0260633367938254,1.0
